#     run      RA         Dec        MJDstart       MJDend         node  inclination     mu0       nu0
#       1  318.620784  -1.053274   51464.171742   51464.188767  95.000000   0.000000 318.620784  -1.053274
    1755  313.193737  -1.287870   51819.223684   51819.480756 280.249704   0.001478 313.193709  -1.288673
    1854  344.114936 -10.416178   51865.098651   51865.135968  94.978583  10.000851 344.470733  -1.057056
    1855  348.919158 -10.674770   51865.152388   51865.198412  94.981495  10.009731 349.201736  -1.047137
    1862   30.966421 -10.069838   51866.179679   51866.224874  95.049067  10.015296  30.542799  -1.041324
    1863   46.621622  -1.163478   51866.238647   51866.272233   4.757175   0.002208  46.621589  -1.164952
    1869   31.042623 -10.062653   51868.275426   51868.305694  94.923284   9.979435  30.616182  -1.081650
    1886   31.283137 -10.043487   51874.150874   51874.193996  94.933149   9.984583  30.853953  -1.075310
    1887   36.618265  -1.056544   51874.223872   51874.281921  95.002579   0.000258  36.618263  -1.056324
    1888   29.055283 -10.207081   51874.297171   51874.333244  94.861628   9.961950  28.653198  -1.102021
    1889  113.335063  28.797739   51874.349171   51874.478122  94.998359  62.507600 128.690085  -1.271082
    1891  349.453612 -10.700853   51875.065255   51875.091792  95.065704   9.924509 349.728763  -1.134387
    1892  349.387675 -10.698065   51875.104671   51875.119598  94.972266  10.011871 349.662633  -1.046088
    1893   29.943140 -10.146610   51875.130783   51875.178051  94.972671   9.995769  29.531079  -1.065980
    1894   32.643094  -1.268813   51875.187542   51875.256371  33.273414   0.000162  32.643091  -1.268811
    1895  113.110587  28.873546   51875.267721   51875.413672  95.004257  62.495127 128.651423  -1.053288
    1896  149.663665  55.980117   51875.435785   51875.496321  95.000801  62.503870 166.115443  -1.271005
    1897  124.810974  -0.023503   51875.508078   51875.523005  95.000000   2.500000 124.786555  -1.266039
    1904  338.545327  12.426962   51878.154072   51878.303339 275.004500  15.001174 339.206798  -1.056351
    1907  124.235231   0.165105   51878.393520   51878.491788  94.969993   2.500763 124.218243  -1.057225
    1923  311.128985  43.664976   51886.140385   51886.157800 215.000779  44.985473 309.430719  -1.153022
    1924   92.367663  44.527675   51886.182903   51886.201146 354.000284  45.987531  89.956219  -1.147071
    1925   83.525668  44.784912   51886.218165   51886.231018 349.975886  45.782222  82.494906  -0.941384
    1926   76.652068  -6.718380   51886.250566   51886.273370 162.987762   5.555280  76.627638  -1.174364
